marca,modelo,Año,Precio,Color,Combustible,Rendimiento,Transmisión,Cantidad,Motor,agencia_id,estado_agencia,municipio_agencia,tipo_vehiculo,descripcion,array_fotografias,grupo_automotriz_id,grupo_automotriz,gerente_id
Nissan,Fusion,2002,"$21,738",Red,Gasolina,293,Automático,2,1.8L I4,100001,Aguascalientes,Aguascalientes,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,483925,Hyundai,819354
Ford,Highlander,2015,"$47,205",White,Gasolina,498,Manual,8,2.0L I4,100002,Baja California,Mexicali,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,739102,Jaguar,506291
Toyota,Charger,2009,"$54,633",Silver,Gasolina,851,Automático,10,3.5L V6,100003,Baja California Sur,La Paz,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,287651,Tesla,246835
BMW,Beetle,2010,"$79,905",Black,Eléctrico,736,Manual,9,1.6L I4,100004,Campeche,Campeche,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,921473,Chevrolet,981623
Chevrolet,Sentra,2004,"$67,619",Blue,Gasolina,640,Manual,1,2.5L V6,100005,Chiapas,Tuxtla Gutiérrez,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,564218,Audi,732568
Mercedes-Benz,Sorento,2020,"$25,896",Green,Eléctrico,583,Manual,7,2.2L I4,100006,Chihuahua,Chihuahua,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,387102,Dodge,135907
Honda,Fiesta,2012,"$31,011",Gray,Gasolina,294,Automático,3,3.0L V6,100007,Coahuila,Saltillo,Luxury car,"The sporty convertible is perfect for sunny days, with a retractable roof, agile handling, and a powerful engine for an exhilarating ride.",https://www.example.com/images/cars/orange-sports-car.jpg,913276,Subaru,840716
Audi,Crosstrek,2018,"$83,029",Yellow,Eléctrico,472,Manual,6,1.4L I4,100008,Colima,Colima,Sedan,"The eco-friendly hybrid car offers both fuel efficiency and performance, with a smooth ride, advanced features, and lower emissions for a more sustainable driving experience.",https://www.example.com/images/cars/yellow-compact-car.jpg,625491,BMW,579142
Volkswagen,Camaro,2014,"$50,984",Brown,Eléctrico,621,Manual,2,2.4L I4,100009,Durango,Durango,Hybrid car,"The off-road vehicle is rugged and capable, with four-wheel drive, high ground clearance, and advanced suspension for tackling even the toughest terrain.",https://www.example.com/images/cars/purple-hybrid-car.jpg,891635,Lexus,314295
Porsche,Q5,2005,"$67,977",Orange,Gasolina,873,Manual,8,2.8L V6,100010,Guanajuato,Guanajuato,City car,"The sleek and modern electric car offers a smooth and silent ride, zero emissions, and advanced features for a more sustainable and high-tech driving experience.",https://www.example.com/images/cars/teal-city-car.jpg,154830,Fiat,674081
Volvo,Wrangler,2019,"$69,201",Purple,Eléctrico,215,Automático,10,1.5L I4,100011,Guerrero,Chilpancingo de los Bravo,Sports car,"The sleek and sporty sports car boasts a powerful engine, precision handling, and a luxurious interior with high-tech features.",https://www.example.com/images/cars/red-sports-car.jpg,792361,Hyundai,819354
Jeep,Impala,2001,"$11,458",Gold,Gasolina,991,Manual,4,3.6L V6,100012,Hidalgo, Pachuca de Soto,SUV,"The rugged and reliable pickup truck is perfect for work or play, with a spacious bed, towing capacity, and all-terrain capabilities.",https://www.example.com/images/cars/black-SUV.jpg,340725,Jaguar,506291
Hyundai,G80,2008,"$91,146",Beige,Eléctrico,725,Automático,1,1.0L I3,100013,Jalisco,Guadalajara,Pickup truck,"The family-friendly minivan has plenty of room for passengers and cargo, with convenient sliding doors, comfortable seating, and entertainment options for long road trips.",https://www.example.com/images/cars/white-pickup-truck.jpg,628914,Tesla,246835
Kia,Veloster,2007,"$10,719",Turquoise,Gasolina,624,Manual,7,2.3L I4,100014,México,Toluca,Minivan,"The compact city car is efficient and easy to park, making it a practical choice for navigating crowded urban areas.",https://www.example.com/images/cars/blue-convertible.jpg,471069,Chevrolet,981623
Mazda,Avalon,2000,"$8,482",Pink,Eléctrico,802,Automático,3,3.2L V6,100015,Michoacán, Morelia,Convertible,The luxurious sedan combines sophisticated style with cutting-edge technology and smooth handling for a truly refined driving experience.,https://www.example.com/images/cars/silver-luxury-car.jpg,840527,Audi,732568
Ferrari,Malibu,2017,"$6,315",Red,Eléctrico,517,Manual,6,1.9L I4,100016,Morelos,Cuernavaca,Compact car,"The versatile SUV is great for both daily commutes and weekend adventures, with ample cargo space, advanced safety features, and off-road capabilities.",https://www.example.com/images/cars/green-off-road-vehicle.jpg,172935,Dodge,135907
